Starting model=rnn epochs=10 batch=2 on host pax047
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Fri Apr 24 14:34:51 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000001:15:00.0 Off |                    0 |
| N/A   42C    P0             75W /  450W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA H200 NVL
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
No existing checkpoint found in /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/rnn/runs/job-483063. Starting fresh.
  Epoch 1/10 [ 1560/10445] │ batch_loss=17949.7090 │ grad_norm=258408.8594
  Epoch 1/10 [ 1570/10445] │ batch_loss=34980.6914 │ grad_norm=559317.5000
  Epoch 1/10 [ 1580/10445] │ batch_loss=13955.5762 │ grad_norm=199828.8750
  Epoch 1/10 [ 1590/10445] │ batch_loss=32191.6230 │ grad_norm=343561.7188
  Epoch 1/10 [ 1600/10445] │ batch_loss=28123.2773 │ grad_norm=1184253.6250
  Epoch 1/10 [ 1610/10445] │ batch_loss=325212.3125 │ grad_norm=1764309.6250
  Epoch 1/10 [ 1620/10445] │ batch_loss=69359.3438 │ grad_norm=1791192.0000
  Epoch 1/10 [ 1630/10445] │ batch_loss=30033.3027 │ grad_norm=999960.8125
  Epoch 1/10 [ 1640/10445] │ batch_loss=17568.0605 │ grad_norm=446997.9688
  Epoch 1/10 [ 1650/10445] │ batch_loss=11806.3809 │ grad_norm=310635.2500
  Epoch 1/10 [ 1660/10445] │ batch_loss=25024.9277 │ grad_norm=914552.5000
  Epoch 1/10 [ 1670/10445] │ batch_loss=181724.2969 │ grad_norm=4885422.0000
  Epoch 1/10 [ 1680/10445] │ batch_loss=8846.7822 │ grad_norm=1079917.2500
  Epoch 1/10 [ 1690/10445] │ batch_loss=54805.1719 │ grad_norm=597116.0000
  Epoch 1/10 [ 1700/10445] │ batch_loss=47571.4180 │ grad_norm=835960.1250
  Epoch 1/10 [ 1710/10445] │ batch_loss=39850.1406 │ grad_norm=1603836.3750
  Epoch 1/10 [ 1720/10445] │ batch_loss=81004.5156 │ grad_norm=1668423.8750
  Epoch 1/10 [ 1730/10445] │ batch_loss=25194.1523 │ grad_norm=218225.4219
  Epoch 1/10 [ 1740/10445] │ batch_loss=11995.1943 │ grad_norm=198445.3125
  Epoch 1/10 [ 1750/10445] │ batch_loss=8787.4375 │ grad_norm=82706.4219
  Epoch 1/10 [ 1760/10445] │ batch_loss=35718.4297 │ grad_norm=234394.8281
  Epoch 1/10 [ 1770/10445] │ batch_loss=153204.0625 │ grad_norm=1534829.5000
  Epoch 1/10 [ 1780/10445] │ batch_loss=30099.3574 │ grad_norm=527155.3750
  Epoch 1/10 [ 1790/10445] │ batch_loss=22124.9141 │ grad_norm=796844.6250
  Epoch 1/10 [ 1800/10445] │ batch_loss=58079.9766 │ grad_norm=893123.8750
  Epoch 1/10 [ 1810/10445] │ batch_loss=6903.2803 │ grad_norm=137480.0781
  Epoch 1/10 [ 1820/10445] │ batch_loss=173143.0938 │ grad_norm=723270.1875
  Epoch 1/10 [ 1830/10445] │ batch_loss=38861.8906 │ grad_norm=335387.3125
  Epoch 1/10 [ 1840/10445] │ batch_loss=30967.1680 │ grad_norm=535296.5625
  Epoch 1/10 [ 1850/10445] │ batch_loss=17725.3145 │ grad_norm=1238700.8750
  Epoch 1/10 [ 1860/10445] │ batch_loss=42901.7500 │ grad_norm=730672.5000
  Epoch 1/10 [ 1870/10445] │ batch_loss=17838.9512 │ grad_norm=504874.9375
  Epoch 1/10 [ 1880/10445] │ batch_loss=38784.7148 │ grad_norm=3000520.5000
  Epoch 1/10 [ 1890/10445] │ batch_loss=16266.2891 │ grad_norm=537313.8125
  Epoch 1/10 [ 1900/10445] │ batch_loss=17810.9941 │ grad_norm=130846.8125
  Epoch 1/10 [ 1910/10445] │ batch_loss=69654.7734 │ grad_norm=2639295.2500
  Epoch 1/10 [ 1920/10445] │ batch_loss=8724.2363 │ grad_norm=220035.5312
  Epoch 1/10 [ 1930/10445] │ batch_loss=48389.1797 │ grad_norm=1653929.0000
  Epoch 1/10 [ 1940/10445] │ batch_loss=8658.1377 │ grad_norm=207543.6875
  Epoch 1/10 [ 1950/10445] │ batch_loss=48393.0000 │ grad_norm=854301.1875
  Epoch 1/10 [ 1960/10445] │ batch_loss=18936.2012 │ grad_norm=364046.7812
  Epoch 1/10 [ 1970/10445] │ batch_loss=84579.1562 │ grad_norm=3632183.7500
  Epoch 1/10 [ 1980/10445] │ batch_loss=17417.5703 │ grad_norm=247644.3125
  Epoch 1/10 [ 1990/10445] │ batch_loss=9850.1045 │ grad_norm=118888.7109
  Epoch 1/10 [ 2000/10445] │ batch_loss=78675.8594 │ grad_norm=5368561.5000
  Epoch 1/10 [ 2010/10445] │ batch_loss=22113.3203 │ grad_norm=629755.1875
  Epoch 1/10 [ 2020/10445] │ batch_loss=124521.8359 │ grad_norm=2606510.0000
  Epoch 1/10 [ 2030/10445] │ batch_loss=32067.7246 │ grad_norm=443976.9375
  Epoch 1/10 [ 2040/10445] │ batch_loss=7058.1943 │ grad_norm=125695.0156
  Epoch 1/10 [ 2050/10445] │ batch_loss=32397.8320 │ grad_norm=856904.3750
  Epoch 1/10 [ 2060/10445] │ batch_loss=7948.7207 │ grad_norm=248179.5625
  Epoch 1/10 [ 2070/10445] │ batch_loss=26428.9688 │ grad_norm=881637.0000
  Epoch 1/10 [ 2080/10445] │ batch_loss=33347.0039 │ grad_norm=414525.8125
  Epoch 1/10 [ 2090/10445] │ batch_loss=32329.0215 │ grad_norm=1020658.8750
  Epoch 1/10 [ 2100/10445] │ batch_loss=18726.1484 │ grad_norm=660129.0625
  Epoch 1/10 [ 2110/10445] │ batch_loss=51614.8203 │ grad_norm=1793795.5000
  Epoch 1/10 [ 2120/10445] │ batch_loss=66734.1172 │ grad_norm=1105890.1250
  Epoch 1/10 [ 2130/10445] │ batch_loss=11203.4297 │ grad_norm=154278.3750
  Epoch 1/10 [ 2140/10445] │ batch_loss=63203.0547 │ grad_norm=1182417.7500
  Epoch 1/10 [ 2150/10445] │ batch_loss=99316.8281 │ grad_norm=3568661.5000
  Epoch 1/10 [ 2160/10445] │ batch_loss=23158.9590 │ grad_norm=1077852.6250
  Epoch 1/10 [ 2170/10445] │ batch_loss=37737.1641 │ grad_norm=2092622.5000
  Epoch 1/10 [ 2180/10445] │ batch_loss=36324.2578 │ grad_norm=598288.1875
  Epoch 1/10 [ 2190/10445] │ batch_loss=14428.8730 │ grad_norm=255627.4375
  Epoch 1/10 [ 2200/10445] │ batch_loss=167596.6875 │ grad_norm=5080088.5000
  Epoch 1/10 [ 2210/10445] │ batch_loss=51232.4688 │ grad_norm=1668945.5000
